treatment,outcome,bathrooms,bedrooms,condition,floors,grade,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated
0,225000,1.0,3,4,1.0,6,1300,0,1300,1260,8316,8316,0,0,1954,0
0,363000,2.5,3,3,2.0,9,2740,0,2740,2570,11872,10377,0,0,1990,0
0,2400000,2.5,4,3,1.0,9,1830,1820,3650,3120,8354,18841,4,1,2000,0
0,250000,2.0,4,4,1.0,7,2010,0,2010,2010,7312,7650,0,0,1976,0
0,260000,2.0,3,4,1.0,7,1240,570,1810,1750,7209,7209,0,0,1978,0
0,245000,2.5,3,3,2.0,7,1730,0,1730,1630,7442,6458,0,0,1987,0
0,315000,1.75,3,4,1.0,7,1200,380,1580,1550,11455,10650,0,0,1974,0
0,237000,1.75,3,4,1.0,7,1270,0,1270,1600,8470,8470,0,0,1960,0
0,525000,2.25,3,3,2.0,10,1320,780,2100,2380,40510,33450,0,0,1979,0
0,290000,2.5,4,4,2.0,7,1700,0,1700,1950,7280,7475,0,0,1988,0
0,272500,2.5,3,3,1.0,8,1420,650,2070,2070,9900,8250,0,0,1979,0
0,2900000,3.25,4,3,1.5,11,4750,300,5050,3890,20100,20060,2,0,1982,2008
0,210000,1.0,3,4,1.0,7,1700,0,1700,1350,11390,8164,0,0,1967,0
0,236000,1.0,3,3,1.0,7,1300,0,1300,1320,5898,7619,0,0,1961,0
0,365000,2.5,3,3,2.0,8,2653,0,2653,2653,4510,4927,0,0,2006,0
0,450000,2.0,3,5,1.0,8,2290,0,2290,1660,16258,10530,0,0,1960,0
0,455000,2.5,4,3,1.0,8,2210,0,2210,2670,49375,49385,0,0,1997,0
0,405000,1.75,3,3,1.0,6,1240,1150,2390,2020,6000,6000,0,0,1908,0
0,170000,1.0,2,3,1.0,6,860,0,860,1650,5265,8775,0,0,1931,0
0,370000,2.5,4,3,2.0,9,2720,0,2720,2410,8666,8100,0,0,1992,0
0,675000,2.25,5,3,1.0,8,1450,1450,2900,2310,10300,10300,0,0,1985,0
0,500000,1.0,2,4,1.0,7,1140,500,1640,1520,14100,13527,0,0,1954,0
0,360000,2.5,4,3,2.0,9,2160,0,2160,2280,9528,9937,0,0,1992,0
0,580000,3.0,4,3,2.0,8,2270,1010,3280,2320,11060,11004,0,0,1986,0
0,265000,2.0,3,3,1.0,7,1320,0,1320,1740,8959,7316,0,0,1993,0
0,446500,2.5,3,3,2.0,8,2650,0,2650,2400,7286,7220,0,0,1990,0
0,267500,1.75,3,3,1.0,7,1090,500,1590,1630,11914,9052,2,0,1957,0
0,3075000,5.0,4,3,1.0,10,2600,1950,4550,4550,18641,19508,4,1,2002,0
0,335000,2.5,3,3,2.0,8,2440,0,2440,2510,7632,7903,0,0,1998,0
0,610750,2.25,4,3,2.0,8,2180,0,2180,2250,7297,9781,0,0,1984,0
0,665000,2.75,4,5,2.0,8,2220,1100,3320,2720,10574,8330,0,0,1960,0
0,1384000,3.25,4,3,1.0,11,2690,1600,4290,3860,12103,11244,3,0,1997,0
0,1400000,3.25,4,3,1.0,11,2690,1600,4290,3860,12103,11244,3,0,1997,0
0,305000,2.25,4,3,1.0,8,1350,600,1950,2150,7700,7350,0,0,1979,0
0,390000,2.5,3,4,1.0,8,1930,0,1930,2350,64904,57500,0,0,1988,0
0,819900,2.75,5,3,2.0,9,3150,0,3150,1560,7119,8384,0,0,2013,0
0,230000,2.0,3,3,1.0,7,1450,0,1450,1520,11204,9518,0,0,2003,0
0,240000,1.75,3,3,1.0,7,1510,0,1510,1510,10248,9753,0,0,1969,0
0,790000,2.25,3,4,1.0,9,1590,780,2370,2500,10289,10004,0,0,1977,0
0,940000,2.0,4,5,2.0,9,2490,0,2490,2770,9525,9525,0,0,1968,0
0,260000,2.5,4,3,2.0,7,1960,0,1960,1800,5238,5894,0,0,2003,0
0,245000,1.75,3,3,1.0,7,1740,0,1740,880,11547,78408,0,0,1954,0
0,684000,3.5,4,3,2.0,9,2420,620,3040,3470,8414,8066,0,0,2010,0
0,165000,1.0,4,3,1.0,6,1000,0,1000,1020,7134,7138,0,0,1943,0
0,239900,1.0,4,3,1.0,6,1000,0,1000,1020,7134,7138,0,0,1943,0
0,206600,2.0,3,4,1.0,7,1390,0,1390,1720,13464,12080,0,0,1987,0
0,387000,1.75,4,3,1.0,7,1250,1250,2500,2040,7690,8646,0,0,1973,0
0,855000,2.75,4,3,2.0,9,2270,0,2270,2610,10460,10180,0,0,1965,0
0,252000,1.5,4,4,1.0,7,1050,500,1550,1640,19800,22654,0,0,1969,0
0,300000,2.5,4,3,2.0,7,1910,0,1910,2010,4862,5091,0,0,2005,0
0,420000,1.0,4,4,1.5,7,1750,0,1750,1750,9600,10530,0,0,1954,0
0,380000,2.5,5,4,2.0,9,2760,0,2760,2470,11340,11340,0,0,1978,0
0,329500,2.5,4,3,2.0,7,1820,0,1820,1820,7912,8168,0,0,1994,0
0,604950,2.5,3,3,1.0,8,1340,770,2110,2040,5608,9363,0,0,2013,0
0,795000,2.5,5,4,1.0,8,1640,1400,3040,2920,9570,8800,2,0,1966,0
0,785000,2.75,4,4,1.0,8,1910,530,2440,2770,69415,24361,0,0,1989,0
0,338000,3.0,4,3,1.0,7,1370,720,2090,1810,7500,7650,0,0,1986,0
0,280000,2.25,3,3,2.0,7,1430,0,1430,1430,7222,7220,0,0,1993,0
0,380000,3.0,5,3,2.0,9,3450,0,3450,2860,9914,9721,0,0,2004,0
0,297000,2.25,3,3,2.0,7,1450,0,1450,1650,7562,7625,0,0,1994,0
0,275000,3.0,3,3,1.0,7,1060,530,1590,1680,7750,7500,0,0,1997,0
0,560000,2.25,4,3,1.0,8,1580,970,2550,2420,7800,8050,0,0,1968,0
0,1350000,3.5,5,3,2.0,11,3480,1320,4800,4050,14984,19009,2,0,1998,0
0,799000,2.25,4,4,2.0,8,2510,0,2510,2450,11585,9691,0,0,1969,0
0,252350,2.0,3,3,1.0,7,1160,490,1650,1710,7352,7350,0,0,1979,0
0,490000,2.75,3,4,2.0,9,1980,0,1980,1950,3128,2856,0,0,1979,0
0,927000,2.75,4,3,2.0,8,3300,0,3300,3180,12090,12239,0,0,1953,0
0,1118000,2.5,4,4,2.0,10,3840,0,3840,3600,16619,16553,1,0,1983,0
0,530000,2.25,5,4,1.0,7,1500,1220,2720,2110,8800,8800,0,0,1958,0
0,365000,2.0,4,1,1.0,8,1940,0,1940,2000,25600,10071,0,0,1962,0
0,269900,1.75,4,4,1.5,7,1530,0,1530,1390,8750,8750,0,0,1968,0
0,322500,2.5,4,3,2.0,7,1820,0,1820,1820,6753,7107,0,0,1994,0
0,278500,2.0,3,3,1.0,7,1570,0,1570,1570,5250,5250,0,0,1998,0
0,364950,2.5,4,3,2.0,8,1930,0,1930,2090,6957,6996,0,0,1995,0
0,840000,3.5,4,4,1.0,10,2840,0,2840,3180,40139,36852,4,0,1986,0
0,268000,2.5,3,3,2.0,7,1550,0,1550,1550,8134,8134,0,0,1991,0
0,339000,1.5,4,3,1.5,7,2390,0,2390,2850,7480,6867,2,0,1920,0
1,625000,1.75,3,5,1.0,7,1600,0,1600,1580,9135,9800,0,0,1955,0
0,538000,2.5,3,3,2.0,8,2250,0,2250,2360,11632,11632,0,0,1988,0
0,380000,2.5,3,4,2.0,8,2280,0,2280,2310,10255,10094,0,0,1985,0
0,245000,2.5,3,5,1.0,7,1030,500,1530,1850,8500,8140,0,0,1996,0
0,1300000,2.0,3,4,1.0,8,1770,580,2350,3530,15021,15715,0,0,1976,0
0,365000,2.5,3,3,2.0,8,2200,0,2200,2310,4052,5082,0,0,2005,0
0,328500,3.0,4,3,2.0,9,2290,0,2290,2290,8250,8250,0,0,1990,0
0,237000,2.5,3,3,2.0,7,1490,0,1490,1490,2138,2094,0,0,2005,0
0,749000,2.5,4,3,1.0,9,1440,270,1710,2140,9627,9131,0,0,1976,2014
0,722500,2.5,5,3,2.0,10,3470,1400,4870,3180,11800,11398,0,0,1983,0
0,227950,1.5,3,5,1.0,7,1670,0,1670,2077,8230,4910,0,0,1954,0
0,196000,2.25,3,3,2.0,7,2070,0,2070,1890,11576,7519,0,0,1974,0
0,205000,1.0,3,4,1.0,7,940,0,940,1150,7980,8050,0,0,1960,0
0,1030000,2.5,3,3,1.0,10,2610,935,3545,3630,9816,7704,0,0,2005,0
0,232000,1.0,3,4,1.0,6,1400,0,1400,1230,10403,10209,0,0,1976,0
0,691100,2.75,3,4,1.0,8,1710,650,2360,2120,16117,16117,0,0,1983,0
0,811000,1.75,3,4,1.0,8,1870,0,1870,1900,9897,10005,0,0,1960,0
0,578000,2.5,4,5,1.0,9,1770,1370,3140,2460,9225,9600,2,0,1966,0
0,255000,1.75,3,5,1.0,7,1240,0,1240,1490,8659,8223,0,0,1986,0
0,1050000,3.5,4,3,2.0,10,3450,0,3450,3220,7832,8567,0,0,2007,0
0,348000,2.25,3,4,2.0,8,2570,0,2570,2400,8491,8049,0,0,1989,0
0,230000,2.0,3,3,2.0,7,1510,0,1510,1570,3413,3777,0,0,1985,0
0,359500,2.25,4,3,2.0,9,2390,0,2390,2480,11250,11250,0,0,1988,0
0,325000,2.5,4,3,2.0,8,1850,0,1850,2100,7324,7329,0,0,1997,0
0,340500,2.0,3,4,1.0,7,1920,350,2270,1770,28025,14833,0,0,1947,0
0,342500,2.5,3,3,2.0,8,1810,0,1810,1810,5192,6200,0,0,1993,0
0,290900,2.0,2,3,2.0,6,1610,0,1610,1310,17600,12950,0,0,1930,1983
0,868700,4.25,3,3,2.0,10,3840,0,3840,3230,6161,7709,0,0,2000,0
0,1150000,3.25,4,3,2.0,11,3150,1040,4190,4300,10259,11919,0,0,2000,0
0,859900,2.75,4,3,2.0,9,3390,0,3390,3390,6298,7111,0,0,2011,0
0,590000,2.75,4,3,1.0,8,1780,1130,2910,2920,10650,10988,2,0,1975,0
0,378500,1.75,4,3,1.0,7,850,850,1700,1620,8640,9000,0,0,1955,0
0,328500,2.5,3,4,2.0,9,1950,0,1950,2350,8130,7691,0,0,1990,0
0,849950,3.0,3,4,2.0,8,2990,0,2990,2230,9773,11553,0,0,1973,0
0,295000,2.5,4,4,1.0,8,1460,700,2160,2060,7725,8250,0,0,1978,0
0,1067000,3.5,6,3,2.0,11,3860,1000,4860,3600,11793,11793,0,0,1998,0
0,207950,2.0,2,3,1.0,6,890,0,890,1860,5000,5000,0,0,1917,0
0,1280000,2.5,5,4,2.0,8,3400,0,3400,3080,9500,11081,1,0,1977,0
0,452000,1.5,4,4,1.0,7,960,620,1580,1560,7350,7350,0,0,1963,0
0,370000,2.0,3,4,1.0,7,1680,0,1680,1680,5036,4921,1,0,1987,0
0,232000,1.75,3,5,1.0,7,1300,0,1300,1300,11230,10794,0,0,1968,0
0,299000,2.75,3,4,1.0,7,1610,1470,3080,2424,19635,12410,2,0,1958,0
0,342000,2.0,3,4,1.0,8,1930,0,1930,2200,11947,12825,0,0,1966,0
0,280000,1.5,3,4,1.0,7,1670,0,1670,1930,11610,10200,0,0,1963,0
0,240000,1.75,2,3,1.0,7,1330,0,1330,1450,7200,11682,0,0,1993,0
0,480000,2.5,4,3,2.0,8,2600,0,2600,2830,7787,7787,0,0,2005,0
0,750000,2.5,3,3,2.0,9,2400,0,2400,2080,7745,8615,0,0,2001,0
0,288000,1.0,3,5,1.0,6,1190,0,1190,1190,7560,7560,0,0,1958,0
0,190000,1.0,2,3,1.0,6,630,0,630,1470,6000,6840,0,0,1943,2005
1,235000,1.5,4,4,1.0,5,1690,0,1690,1690,11054,9040,0,0,1930,0
0,727500,2.0,2,4,1.0,7,1240,0,1240,1380,9119,9121,0,0,1952,0
0,270500,2.5,3,3,1.0,7,1320,460,1780,1680,7848,7848,0,0,1978,0
0,200000,1.5,2,3,2.0,7,1360,0,1360,1360,1898,1898,0,0,1978,0
0,970000,3.25,4,3,2.0,10,4740,0,4740,3340,76230,49206,0,0,1987,0
0,358000,2.25,3,4,2.0,7,1610,0,1610,1780,6655,7529,0,0,1985,0
0,249000,2.0,3,3,1.0,7,1360,0,1360,1360,6082,6987,0,0,1994,0
0,346900,2.5,4,3,2.0,8,1970,0,1970,2230,5106,5109,0,0,1999,0
0,280000,2.5,4,3,2.0,7,1560,0,1560,1560,4350,4350,0,0,2003,0
0,318888,1.75,4,4,1.0,8,2270,50,2320,2120,12000,9880,0,0,1973,0
0,375000,2.25,3,4,2.0,8,2120,0,2120,2120,18500,14479,0,0,1983,0
0,782000,2.5,4,4,2.0,10,2380,0,2380,2560,9614,9770,0,0,1991,0
0,315000,2.75,4,4,1.0,7,1560,740,2300,1870,18360,9588,0,0,1979,0
0,215000,1.0,2,4,1.0,6,1320,0,1320,1190,8865,6490,0,0,1943,0
0,705000,1.75,3,4,1.0,7,1140,1040,2180,2180,10221,8535,2,0,1946,0
0,261000,1.0,2,4,1.0,6,750,0,750,1340,8125,8750,0,0,1943,0
0,725000,2.5,4,3,2.0,9,2990,0,2990,3715,29170,29170,3,0,1999,0
0,1950000,3.5,7,3,2.0,11,2860,1780,4640,3230,15235,20697,1,0,1965,2003
0,238000,1.0,4,3,1.5,7,1400,0,1400,1310,7242,7314,0,0,1959,0
0,750000,1.75,6,4,2.0,8,2750,0,2750,2040,9563,9563,0,0,1973,0
0,331500,2.5,4,3,2.0,7,2050,0,2050,2050,10271,8103,0,0,1998,0
0,404950,2.25,4,4,1.0,8,2340,0,2340,2340,217014,107898,0,0,1982,0
0,638700,1.75,3,3,1.0,7,1370,710,2080,1870,9162,8944,0,0,1960,0
0,260000,1.0,3,4,1.5,6,1180,0,1180,1490,5350,5350,0,0,1959,0
0,338900,2.5,4,3,2.0,7,1830,0,1830,1830,5612,5998,0,0,2003,0
0,263500,1.75,3,3,1.0,7,1040,290,1330,1330,9917,9081,0,0,1981,0
0,266000,2.5,3,3,2.0,7,1805,0,1805,2095,3402,3402,0,0,2009,0
0,180000,1.0,3,4,1.0,6,1384,0,1384,1000,8960,8470,0,0,1965,0
0,264000,1.5,3,4,1.0,7,1820,0,1820,1380,10608,8976,0,0,1962,0
0,268500,1.75,4,4,1.0,7,1080,340,1420,1500,7500,7260,0,0,1981,0
0,900000,2.5,3,4,2.0,11,3180,0,3180,3030,12600,12835,0,0,1978,0
0,370000,2.25,3,4,2.0,8,2110,0,2110,2470,13300,14000,0,0,1985,0
0,290000,2.5,3,3,2.0,8,1610,0,1610,1610,2937,3049,0,0,2006,0
0,296000,2.5,4,3,2.0,7,1780,0,1780,2020,3600,3802,0,0,2006,0
0,360000,2.5,4,3,2.0,7,1840,0,1840,1830,9611,8505,0,0,1996,0
0,240500,1.75,3,3,1.0,7,990,470,1460,1220,10584,12012,0,0,1997,0
0,515000,3.0,4,3,2.0,9,3590,0,3590,2860,8249,7995,0,0,1997,0
0,1220000,2.25,4,4,2.0,9,3200,0,3200,3070,15367,15263,0,0,1962,0
0,399950,2.0,4,3,1.0,9,2420,0,2420,2560,31465,32186,0,0,1984,0
0,469000,2.75,4,5,1.0,8,2100,1450,3550,2050,13938,9000,0,0,1966,0
0,223000,2.0,3,3,1.0,7,1300,370,1670,1660,6824,7586,0,0,1990,0
0,242000,1.75,3,4,1.5,7,1280,0,1280,1500,7524,7777,0,0,1988,0
0,210000,2.0,3,3,1.0,8,1440,0,1440,1700,7210,7245,0,0,1983,0
0,260000,2.5,3,3,2.0,7,1920,0,1920,1930,7415,7536,0,0,1989,0
0,200000,1.5,3,4,1.0,7,1210,0,1210,1408,10588,10588,0,0,1958,0
0,289500,1.0,3,4,1.0,6,820,140,960,1200,6400,6600,0,0,1944,0
0,480000,2.25,4,4,2.0,9,3250,0,3250,3110,34293,35982,0,0,1983,0
0,426700,1.75,3,5,1.0,7,1600,480,2080,1680,7700,7700,0,0,1968,0
0,214000,1.0,3,4,1.0,6,1200,0,1200,1200,8316,8316,0,0,1953,0
0,245000,1.5,3,5,2.0,7,1360,0,1360,1220,8910,8912,0,0,1949,0
0,314500,2.0,3,3,1.0,8,2050,0,2050,2180,13303,11590,0,0,1993,0
0,305000,2.5,4,3,1.0,7,1340,910,2250,1540,9091,7802,0,0,1982,0
0,240000,1.75,3,3,1.0,7,1150,610,1760,1760,6500,8125,0,0,1987,0
0,325000,1.0,3,3,1.0,7,1120,800,1920,2000,6862,6900,2,0,1952,0
0,1000000,2.5,3,3,2.0,10,3180,0,3180,3000,10492,9812,2,0,1991,0
0,748000,3.5,4,3,2.0,8,1970,800,2770,2180,3330,3380,0,0,2001,0
0,888000,1.5,3,4,1.0,7,1250,0,1250,1750,8710,9185,0,0,1953,0
0,331000,1.75,3,3,1.0,7,1300,0,1300,1890,9079,7369,0,0,1986,0
0,290000,1.5,3,4,1.0,8,1950,0,1950,1940,15954,12667,0,0,1959,0
0,664000,2.75,4,5,1.0,8,1630,880,2510,2390,11880,11211,0,0,1978,0
0,385000,1.75,3,3,1.0,8,1200,600,1800,1800,18000,18000,0,0,1968,0
0,188000,1.5,2,3,1.0,6,1120,0,1120,1690,17487,8056,0,0,1924,0
0,222000,2.0,3,4,1.0,7,970,470,1440,1440,7187,7187,0,0,1981,0
0,609900,2.5,4,3,2.0,10,3190,0,3190,3250,7399,7323,0,0,2006,0
0,802541,2.75,5,3,2.0,9,2990,0,2990,2870,6768,6768,0,0,2014,0
0,320000,2.5,3,3,2.0,8,2680,0,2680,2430,7757,8231,0,0,1990,0
0,373000,1.75,3,3,1.0,8,1430,400,1830,2140,11788,11964,1,0,1958,0
0,1484900,2.5,5,5,2.0,10,4570,0,4570,3180,19252,13314,0,0,1965,0
0,359900,2.25,4,3,2.0,8,2470,0,2470,2330,7698,7986,0,0,1983,0
0,245000,2.0,3,3,1.0,7,1410,0,1410,1670,5760,6222,0,0,1985,0
0,700000,2.5,5,5,1.0,8,1610,1220,2830,2670,25958,21567,1,0,1979,0
0,268000,1.75,4,3,1.0,7,1100,580,1680,2400,9966,10369,0,0,1977,0
0,225000,1.75,3,3,1.0,7,920,840,1760,1350,26055,13475,0,0,1979,0
0,980000,2.25,4,3,2.0,8,2240,0,2240,2300,11034,11550,0,0,1976,0
0,195000,1.0,2,3,1.0,6,820,0,820,1170,5100,5304,0,0,1953,0
0,480000,2.0,4,2,1.0,6,1730,450,2180,2180,10575,12010,0,0,1950,0
0,130000,1.0,2,3,1.0,5,880,0,880,1410,9000,10000,0,0,1928,0
0,325000,1.0,2,4,1.0,6,1060,0,1060,2240,5703,4416,2,0,1946,0
