Store_Name,Address,City_and_State,Zipcode,Phone_Number,full_address,location,latitude,longitude
Supercenter #2196,3411 E Kolonels Way,"Port Angeles, WA",98362,360-452-1244,"3411 E Kolonels Way, Port Angeles, WA 98362","3411, East Kolonels Way, Mount Pleasant, Port Angeles, Clallam County, Washington, 98362, United States",48.1107212,-123.3620835
Supercenter #2325,3497 Bethel Rd Se,"Port Orchard, WA",98366,360-874-9060,"3497 Bethel Rd Se, Port Orchard, WA 98366","Walmart Supercenter, 3497, Bethel Road Southeast, Port Orchard, Kitsap County, Washington, 98366, United States",47.51665,-122.6276794
Supercenter #5272,21200 Olhava Way Nw,"Poulsbo, WA",98370,360-697-3670,"21200 Olhava Way Nw, Poulsbo, WA 98370","Walmart Pharmacy, 21200, Northwest Olhava Way, Poulsbo, Kitsap County, Washington, 98370, United States",47.7578506,-122.6626268
Supercenter #2516,743 Rainier Avenue South,"Renton, WA",98057,425-227-0407,"743 Rainier Avenue South, Renton, WA 98057","Walmart Supercenter, 743, Rainier Avenue South, Renton, King County, Washington, 98057, United States",47.4720483,-122.2210962
Supercenter #5273,1110 W Washington St,"Sequim, WA",98382,360-683-9346,"1110 W Washington St, Sequim, WA 98382","Walmart Supercenter, 1110, West Washington Street, Sequim, Clallam County, Washington, 98382, United States",48.0801618,-123.1343816
Supercenter #2121,100 E Wallace Kneeland Blvd,"Shelton, WA",98584,360-427-6226,"100 E Wallace Kneeland Blvd, Shelton, WA 98584","Walmart Supercenter, 100, East Wallace Kneeland Boulevard, Shelton, Mason County, Washington, 98584, United States",47.233108,-123.1256041
Supercenter #3218,20307 Mountain Hwy E,"Spanaway, WA",98387,253-846-6008,"20307 Mountain Hwy E, Spanaway, WA 98387","Walmart Vision Center, 20307, Mountain Highway East, Loveland, Spanaway, Pierce County, Washington, 98387, United States",47.0735819,-122.4189574
Supercenter #2241,2675 E Lincoln Ave,"Sunnyside, WA",98944,509-839-7339,"2675 E Lincoln Ave, Sunnyside, WA 98944","Walmart Supercenter, 2675, East Lincoln Avenue, Sunnyside, Yakima County, Washington, 98944, United States",46.3149225,-119.9858908
Supercenter #4137,1965 S. Union Ave,"Tacoma, WA",98405,253-414-9526,"1965 S. Union Ave, Tacoma, WA 98405","Walmart Supercenter, 1965, South Union Avenue, Central Tacoma, Tacoma, Pierce County, Washington, 98405, United States",47.2399299,-122.4786235
Supercenter #3850,5900 Littlerock Rd Sw,"Tumwater, WA",98512,360-350-6019,"5900 Littlerock Rd Sw, Tumwater, WA 98512","Walmart Supercenter, 5900, Littlerock Road Southwest, Tumwater, Thurston County, Washington, 98512, United States",46.9944594,-122.9190839
Supercenter #2187,2000 N Wenatchee Ave,"Wenatchee, WA",98801,509-664-2448,"2000 N Wenatchee Ave, Wenatchee, WA 98801","Walmart Supercenter, 2000, North Wenatchee Avenue, Wenatchee, Chelan County, Washington, 98801, United States",47.4540238,-120.3394995
Supercenter #3742,1486 Dike Access Rd,"Woodland, WA",98674,360-841-9131,"1486 Dike Access Rd, Woodland, WA 98674","SmartStyle, 1486, Dike Access Road, Woodland, Cowlitz County, Washington, 98674, United States",45.9286978,-122.760935
Neighborhood Market #3098,15063 Main St,"Bellevue, WA ",98007,425-643-9054,"15063 Main St, Bellevue, WA  98007","Walmart Neighborhood Market, 15063, Main Street, Bellevue, King County, Washington, 98007, United States",47.6087019,-122.1396314
Store #5939,12620 Se 41st Pl,"Bellevue, WA ",98006,425-201-7543,"12620 Se 41st Pl, Bellevue, WA  98006","T&T Supermarket, 12620, Southeast 41st Place, Factoria, Bellevue, King County, Washington, 98006, United States",47.5728719,-122.1725322
Store #5195,11400 Highway 99,"Everett, WA ",98204,425-923-1740,"11400 Highway 99, Everett, WA  98204","11400, Highway 99, Everett, Snohomish County, Washington, 98204, United States",47.8945447,-122.2558566
Supercenter #3053,1605 Se Everett Mall Way,"Everett, WA ",98208,425-789-3361,"1605 Se Everett Mall Way, Everett, WA  98208","Coinstar, 1605, Southeast Everett Mall Way, Twin Creeks, Cascade View, Everett, Snohomish County, Washington, 98208, United States",47.9140759,-122.2136964
Store #2571,1900 S 314th St,"Federal Way, WA ",98003,253-941-9974,"1900 S 314th St, Federal Way, WA  98003","1900, South 314th Street, Federal Way, King County, Washington, 98003, United States",47.3218684,-122.3097827
Supercenter #3794,34520 16th Ave S,"Federal Way, WA ",98003,253-835-4965,"34520 16th Ave S, Federal Way, WA  98003","Walmart Supercenter, 34520, 16th Avenue South, Kitts Corner, Federal Way, King County, Washington, 98003, United States",47.2927947,-122.3101505
Neighborhood Market #4757,5110 Yelm Highway,"Lacey, WA ",98503,360-252-2906,"5110 Yelm Highway, Lacey, WA  98503","Walmart Neighborhood Market, 5110, Yelm Highway Southeast, Lacey, Thurston County, Washington, 98503, United States",46.9971853,-122.8188324
Supercenter #3531,1401 Galaxy Dr Ne,"Lacey, WA ",98516,360-456-6550,"1401 Galaxy Dr Ne, Lacey, WA  98516","Walmart Supercenter, 1401, Galaxy Drive Northeast, Lacey, Thurston County, Washington, 98516, United States",47.0604261,-122.7737694
Supercenter #2469,540 7th Ave,"Longview, WA ",98632,360-414-9656,"540 7th Ave, Longview, WA  98632","Walmart Supercenter, 540, 7th Avenue, Longview, Cowlitz County, Washington, 98632, United States",46.1192411,-122.9300077
Neighborhood Market #5678,17222 Highway 99,"Lynnwood, WA ",98037,425-245-0795,"17222 Highway 99, Lynnwood, WA  98037","17222, Pacific Highway, Lynnwood, Snohomish County, Washington, 98037, United States",47.8419598,-122.2972554
Store #2594,1400 164th St Sw,"Lynnwood, WA ",98087,425-741-9445,"1400 164th St Sw, Lynnwood, WA  98087","Walmart Garden Center, 1400, 164th Street Southwest, Lynnwood, Snohomish County, Washington, 98087, United States",47.8490195,-122.253165
Supercenter #3801,8713 64th St Ne,"Marysville, WA ",98270,360-386-3004,"8713 64th St Ne, Marysville, WA  98270","Walmart Supercenter, 8713, 64th Street Northeast, Marysville, Snohomish County, Washington, 98270, United States",48.0557453,-122.1125379
Supercenter #2403,310 31st Ave Se,"Puyallup, WA ",98374,253-770-4399,"310 31st Ave Se, Puyallup, WA  98374","Walmart Supercenter, 310, 31st Avenue Southeast, Puyallup, Pierce County, Washington, 98374, United States",47.1609076,-122.2887377
Supercenter #3525,16502 Meridian E,"Puyallup, WA ",98375,253-446-1741,"16502 Meridian E, Puyallup, WA  98375","Walmart Supercenter, 16502, Meridian East, Puyallup, Pierce County, Washington, 98375, United States",47.1058405,-122.2971852
Neighborhood Market #3145,2201 Grand Blvd,"Vancouver, WA ",98661,360-258-2015,"2201 Grand Blvd, Vancouver, WA  98661","Walmart Neighborhood Market, 2201, Grand Boulevard, Maplewood, Vancouver, Clark County, Washington, 98661, United States",45.6364341,-122.6408223
Store #2947,9000 Ne Highway 99,"Vancouver, WA ",98665,360-571-0300,"9000 Ne Highway 99, Vancouver, WA  98665","Electrify America, 9000, Northeast Highway 99, Northeast Hazel Dell, Hazel Dell, Vancouver, Clark County, Washington, 98665, United States",45.6874384,-122.6611928
Supercenter #2550,221e Ne 104th Ave,"Vancouver, WA ",98664,360-885-0734,"221e Ne 104th Ave, Vancouver, WA  98664","Northeast 104th Avenue, Burton Ridge, Vancouver, Clark County, Washington, 98664, United States",45.6367016,-122.5658025
Supercenter #5461,14505 Ne Fourth Plain Blvd,"Vancouver, WA ",98682,360-258-2654,"14505 Ne Fourth Plain Blvd, Vancouver, WA  98682","Walmart Vision Center, 14505, Northeast Fourth Plain Boulevard, Burnt Bridge Creek, Vancouver, Clark County, Washington, 98682, United States",45.6698936,-122.5240736
Supercenter #5462,430 Se 192nd Ave,"Vancouver, WA ",98683,360-256-0109,"430 Se 192nd Ave, Vancouver, WA  98683","Walmart Supercenter, 430, Southeast 192nd Avenue, Bennington, Vancouver, Clark County, Washington, 98683, United States",45.6182648,-122.4798175
Supercenter #2269,1600 E Chestnut Ave,"Yakima, WA ",98901,509-248-3448,"1600 E Chestnut Ave, Yakima, WA  98901","Walmart Supercenter, 1600, East Chestnut Avenue, Washington Park, Yakima, Yakima County, Washington, 98901, United States",46.6013116,-120.4804389
Supercenter #5078,6600 W Nob Hill Blvd,"Yakima, WA ",98908,509-966-0478,"6600 W Nob Hill Blvd, Yakima, WA  98908","Walmart Supercenter, 6600, West Nob Hill Boulevard, West Valley, Yakima, Yakima County, Washington, 98908, United States",46.5829632,-120.5972519
